casa,metrica,valor
arrieros,arbitrajes,0
arrieros,capitulo_caminos,0
arrieros,capitulo_comercio,0
arrieros,capitulo_exploracion,53
arrieros,capitulo_ganaderia,0
arrieros,capitulo_hitos,72
arrieros,capitulo_industria,0
arrieros,capitulo_obras,40
arrieros,capitulo_poblacion,83
arrieros,capitulo_territorio,113
arrieros,comarcas,6
arrieros,comarcasIncorporadas,6
arrieros,edificio_aserradero,728
arrieros,edificio_granja,10994
arrieros,edificio_lonja,3
arrieros,ingresosDeFeria,0
arrieros,jornadas,262
arrieros,lanaEsquilada,0
arrieros,maravedis,126
arrieros,obrasMayores,0
arrieros,obrasTerminadas,23
arrieros,poblacion,418
arrieros,prestigio,309
arrieros,primicias,0
arrieros,producido_hierro,0
arrieros,producido_lana,0
arrieros,producido_madera,728
arrieros,producido_maravedis,6993
arrieros,producido_pan,10990
arrieros,producido_piedra,0
arrieros,producido_sal,0
arrieros,pueblasFundadas,0
arrieros,puesto,4
arrieros,turnosConEscasez,19
arrieros,turnosDeDecision,200
arrieros,turnosSinDecision,6
arrieros,volumenComerciado,1425
arrieros,volumenEnRuta,0
arrieros,prestigio_sobre_mediana_mil,1073
arrieros,prestigio_entrando_cada_seis,156
canteros,arbitrajes,0
canteros,capitulo_caminos,0
canteros,capitulo_comercio,0
canteros,capitulo_exploracion,33
canteros,capitulo_ganaderia,0
canteros,capitulo_hitos,115
canteros,capitulo_industria,0
canteros,capitulo_obras,120
canteros,capitulo_poblacion,16
canteros,capitulo_territorio,20
canteros,comarcas,1
canteros,comarcasIncorporadas,0
canteros,edificio_cantera,820
canteros,edificio_granja,3438
canteros,ingresosDeFeria,0
canteros,jornadas,48
canteros,lanaEsquilada,0
canteros,maravedis,84
canteros,obrasMayores,1
canteros,obrasTerminadas,4
canteros,poblacion,80
canteros,prestigio,267
canteros,primicias,1
canteros,producido_hierro,0
canteros,producido_lana,0
canteros,producido_madera,0
canteros,producido_maravedis,3369
canteros,producido_pan,3438
canteros,producido_piedra,820
canteros,producido_sal,0
canteros,pueblasFundadas,0
canteros,puesto,5
canteros,turnosConEscasez,37
canteros,turnosDeDecision,200
canteros,turnosSinDecision,9
canteros,volumenComerciado,732
canteros,volumenEnRuta,0
canteros,prestigio_sobre_mediana_mil,927
canteros,prestigio_entrando_cada_seis,345
ferrones,arbitrajes,0
ferrones,capitulo_caminos,0
ferrones,capitulo_comercio,0
ferrones,capitulo_exploracion,26
ferrones,capitulo_ganaderia,0
ferrones,capitulo_hitos,25
ferrones,capitulo_industria,7
ferrones,capitulo_obras,0
ferrones,capitulo_poblacion,12
ferrones,capitulo_territorio,20
ferrones,comarcas,1
ferrones,comarcasIncorporadas,0
ferrones,edificio_cantera,373
ferrones,edificio_ferreria,262
ferrones,edificio_granja,2539
ferrones,edificio_lonja,37
ferrones,ingresosDeFeria,0
ferrones,jornadas,43
ferrones,lanaEsquilada,0
ferrones,maravedis,88
ferrones,obrasMayores,0
ferrones,obrasTerminadas,4
ferrones,poblacion,60
ferrones,prestigio,73
ferrones,primicias,0
ferrones,producido_hierro,262
ferrones,producido_lana,0
ferrones,producido_madera,0
ferrones,producido_maravedis,3182
ferrones,producido_pan,2577
ferrones,producido_piedra,373
ferrones,producido_sal,0
ferrones,pueblasFundadas,0
ferrones,puesto,7
ferrones,turnosConEscasez,16
ferrones,turnosDeDecision,200
ferrones,turnosSinDecision,10
ferrones,volumenComerciado,1271
ferrones,volumenEnRuta,0
ferrones,prestigio_sobre_mediana_mil,253
ferrones,prestigio_entrando_cada_seis,30
hortelanos,arbitrajes,0
hortelanos,capitulo_caminos,0
hortelanos,capitulo_comercio,0
hortelanos,capitulo_exploracion,53
hortelanos,capitulo_ganaderia,0
hortelanos,capitulo_hitos,125
hortelanos,capitulo_industria,0
hortelanos,capitulo_obras,0
hortelanos,capitulo_poblacion,71
hortelanos,capitulo_territorio,120
hortelanos,comarcas,6
hortelanos,comarcasIncorporadas,7
hortelanos,edificio_granja,6308
hortelanos,edificio_huerta,10700
hortelanos,ingresosDeFeria,0
hortelanos,jornadas,165
hortelanos,lanaEsquilada,0
hortelanos,maravedis,906
hortelanos,obrasMayores,0
hortelanos,obrasTerminadas,6
hortelanos,poblacion,357
hortelanos,prestigio,321
hortelanos,primicias,1
hortelanos,producido_hierro,0
hortelanos,producido_lana,0
hortelanos,producido_madera,0
hortelanos,producido_maravedis,8242
hortelanos,producido_pan,17002
hortelanos,producido_piedra,0
hortelanos,producido_sal,0
hortelanos,pueblasFundadas,0
hortelanos,puesto,4
hortelanos,turnosConEscasez,8
hortelanos,turnosDeDecision,200
hortelanos,turnosSinDecision,109
hortelanos,volumenComerciado,0
hortelanos,volumenEnRuta,0
hortelanos,prestigio_sobre_mediana_mil,1115
hortelanos,prestigio_entrando_cada_seis,431
mercaderes,arbitrajes,0
mercaderes,capitulo_caminos,0
mercaderes,capitulo_comercio,0
mercaderes,capitulo_exploracion,39
mercaderes,capitulo_ganaderia,0
mercaderes,capitulo_hitos,42
mercaderes,capitulo_industria,0
mercaderes,capitulo_obras,0
mercaderes,capitulo_poblacion,20
mercaderes,capitulo_territorio,27
mercaderes,comarcas,1
mercaderes,comarcasIncorporadas,1
mercaderes,edificio_aserradero,421
mercaderes,edificio_granja,4657
mercaderes,ingresosDeFeria,0
mercaderes,jornadas,64
mercaderes,lanaEsquilada,0
mercaderes,maravedis,103
mercaderes,obrasMayores,0
mercaderes,obrasTerminadas,4
mercaderes,poblacion,99
mercaderes,prestigio,101
mercaderes,primicias,0
mercaderes,producido_hierro,0
mercaderes,producido_lana,0
mercaderes,producido_madera,421
mercaderes,producido_maravedis,4990
mercaderes,producido_pan,4654
mercaderes,producido_piedra,0
mercaderes,producido_sal,0
mercaderes,pueblasFundadas,0
mercaderes,puesto,7
mercaderes,turnosConEscasez,13
mercaderes,turnosDeDecision,200
mercaderes,turnosSinDecision,5
mercaderes,volumenComerciado,770
mercaderes,volumenEnRuta,0
mercaderes,prestigio_sobre_mediana_mil,351
mercaderes,prestigio_entrando_cada_seis,118
mesta,arbitrajes,0
mesta,capitulo_caminos,0
mesta,capitulo_comercio,0
mesta,capitulo_exploracion,23
mesta,capitulo_ganaderia,0
mesta,capitulo_hitos,57
mesta,capitulo_industria,0
mesta,capitulo_obras,40
mesta,capitulo_poblacion,15
mesta,capitulo_territorio,27
mesta,comarcas,1
mesta,comarcasIncorporadas,0
mesta,edificio_aserradero,826
mesta,edificio_granja,2553
mesta,ingresosDeFeria,0
mesta,jornadas,48
mesta,lanaEsquilada,29
mesta,maravedis,85
mesta,obrasMayores,0
mesta,obrasTerminadas,5
mesta,poblacion,76
mesta,prestigio,150
mesta,primicias,0
mesta,producido_hierro,0
mesta,producido_lana,0
mesta,producido_madera,826
mesta,producido_maravedis,3247
mesta,producido_pan,2553
mesta,producido_piedra,0
mesta,producido_sal,0
mesta,pueblasFundadas,0
mesta,puesto,6
mesta,turnosConEscasez,12
mesta,turnosDeDecision,200
mesta,turnosSinDecision,31
mesta,volumenComerciado,770
mesta,volumenEnRuta,0
mesta,prestigio_sobre_mediana_mil,521
mesta,prestigio_entrando_cada_seis,92
monjes,arbitrajes,0
monjes,capitulo_caminos,0
monjes,capitulo_comercio,0
monjes,capitulo_exploracion,70
monjes,capitulo_ganaderia,0
monjes,capitulo_hitos,175
monjes,capitulo_industria,0
monjes,capitulo_obras,0
monjes,capitulo_poblacion,210
monjes,capitulo_territorio,360
monjes,comarcas,18
monjes,comarcasIncorporadas,7
monjes,edificio_aserradero,798
monjes,edificio_granja,28699
monjes,edificio_huerta,2029
monjes,ingresosDeFeria,0
monjes,jornadas,303
monjes,lanaEsquilada,0
monjes,maravedis,3996
monjes,obrasMayores,0
monjes,obrasTerminadas,38
monjes,poblacion,1053
monjes,prestigio,803
monjes,primicias,2
monjes,producido_hierro,0
monjes,producido_lana,0
monjes,producido_madera,798
monjes,producido_maravedis,11956
monjes,producido_pan,30728
monjes,producido_piedra,0
monjes,producido_sal,0
monjes,pueblasFundadas,10
monjes,puesto,1
monjes,turnosConEscasez,12
monjes,turnosDeDecision,200
monjes,turnosSinDecision,4
monjes,volumenComerciado,4973
monjes,volumenEnRuta,0
monjes,prestigio_sobre_mediana_mil,2788
monjes,prestigio_entrando_cada_seis,470
salineros,arbitrajes,0
salineros,capitulo_caminos,0
salineros,capitulo_comercio,0
salineros,capitulo_exploracion,59
salineros,capitulo_ganaderia,0
salineros,capitulo_hitos,108
salineros,capitulo_industria,0
salineros,capitulo_obras,0
salineros,capitulo_poblacion,178
salineros,capitulo_territorio,213
salineros,comarcas,11
salineros,comarcasIncorporadas,10
salineros,edificio_aserradero,151
salineros,edificio_granja,15553
salineros,edificio_huerta,4012
salineros,edificio_lonja,264
salineros,edificio_salina,1899
salineros,ingresosDeFeria,436
salineros,jornadas,235
salineros,lanaEsquilada,0
salineros,maravedis,1319
salineros,obrasMayores,0
salineros,obrasTerminadas,42
salineros,poblacion,892
salineros,prestigio,558
salineros,primicias,1
salineros,producido_hierro,0
salineros,producido_lana,0
salineros,producido_madera,151
salineros,producido_maravedis,15223
salineros,producido_pan,19830
salineros,producido_piedra,0
salineros,producido_sal,1899
salineros,pueblasFundadas,0
salineros,puesto,2
salineros,turnosConEscasez,1
salineros,turnosDeDecision,200
salineros,turnosSinDecision,21
salineros,volumenComerciado,2366
salineros,volumenEnRuta,0
salineros,prestigio_sobre_mediana_mil,1938
salineros,prestigio_entrando_cada_seis,192
partida,mediana_de_prestigio,288
partida,precios_pegados,0
partida,comarcas_tocadas,246
