semilla,turno,casa,prestigio,poblacion,comarcas,maravedis,pan,escasez,decidio,sin_decision
1492,1,arrieros,34,56,1,36,69,0,1,0
1492,2,arrieros,33,52,1,25,57,0,1,0
1492,3,arrieros,32,48,1,14,26,0,1,0
1492,4,arrieros,32,48,1,14,24,0,1,1
1492,5,arrieros,32,48,1,14,25,0,1,1
1492,6,arrieros,45,48,1,26,28,0,1,0
1492,7,arrieros,46,50,1,57,31,0,1,0
1492,8,arrieros,46,52,1,71,34,0,1,1
1492,9,arrieros,46,50,1,62,30,0,1,0
1492,10,arrieros,46,50,1,83,26,0,1,0
1492,11,arrieros,46,52,1,74,45,0,1,0
1492,12,arrieros,46,50,1,71,43,0,1,0
1492,13,arrieros,48,48,1,72,56,0,1,0
1492,14,arrieros,49,50,1,79,74,0,1,0
1492,15,arrieros,49,52,1,82,92,0,1,0
1492,16,arrieros,64,54,1,79,109,0,1,0
1492,17,arrieros,65,56,1,83,115,0,1,0
1492,18,arrieros,65,58,1,70,99,0,1,0
1492,19,arrieros,66,60,1,84,102,0,1,0
1492,20,arrieros,66,60,1,82,94,0,1,0
1492,21,arrieros,66,60,1,87,98,0,1,0
1492,22,arrieros,66,60,1,85,102,0,1,0
1492,23,arrieros,69,60,1,84,96,0,1,0
1492,24,arrieros,69,60,1,113,88,0,1,0
1492,25,arrieros,69,60,1,80,82,0,1,0
1492,26,arrieros,69,60,1,94,81,0,1,0
1492,27,arrieros,69,60,1,106,77,0,1,0
1492,28,arrieros,69,60,1,109,75,0,1,0
1492,29,arrieros,69,60,1,108,82,0,1,0
1492,30,arrieros,69,60,1,117,89,0,1,0
1492,31,arrieros,69,63,1,65,82,0,1,0
1492,32,arrieros,70,66,1,98,90,0,1,0
1492,33,arrieros,73,69,1,76,91,0,1,0
1492,34,arrieros,74,72,1,89,95,0,1,0
1492,35,arrieros,75,75,1,91,106,0,1,0
1492,36,arrieros,75,78,1,109,119,0,1,0
1492,37,arrieros,76,81,1,114,121,0,1,0
1492,38,arrieros,77,85,1,121,124,0,1,0
1492,39,arrieros,77,89,1,117,126,0,1,0
1492,40,arrieros,77,89,1,123,127,0,1,0
1492,41,arrieros,77,89,1,122,121,0,1,0
1492,42,arrieros,77,89,1,128,115,0,1,0
1492,43,arrieros,77,89,1,127,115,0,1,0
1492,44,arrieros,77,89,1,137,116,0,1,0
1492,45,arrieros,77,89,1,134,117,0,1,0
1492,46,arrieros,77,89,1,147,119,0,1,0
1492,47,arrieros,77,89,1,143,113,0,1,0
1492,48,arrieros,77,89,1,151,108,0,1,0
1492,49,arrieros,77,89,1,150,101,0,1,0
1492,50,arrieros,77,89,1,157,94,0,1,0
1492,51,arrieros,77,89,1,155,87,0,1,0
1492,52,arrieros,77,89,1,164,81,0,1,0
1492,53,arrieros,77,89,1,161,81,0,1,0
1492,54,arrieros,77,89,1,176,81,0,1,0
1492,55,arrieros,77,89,1,178,81,0,1,0
1492,56,arrieros,77,89,1,191,81,0,1,0
1492,57,arrieros,77,89,1,203,81,0,1,0
1492,58,arrieros,77,89,1,216,81,0,1,0
1492,59,arrieros,77,89,1,228,97,0,1,0
